FileName,sample,
Version,Aris,Version=88491076
VersionMinor,0,VersionMinor=0
FrameCount,6,FrameCount=6
FrameRate,0,FrameRate=0
Beams,48,NumRawBeams=48
FlipImage,FALSE,Reverse=0
HighResolution,FALSE,HighResolution=0
UserId1,0,UserID1=0
UserId2,0,UserID2=0
UserId3,0,UserID3=0
UserId4,0,UserID4=0
SerialNumber,1098,SN=1098
Samples,2000,SamplesPerChannel=2000
SampleRate,0,SampleRate=0
ReceiverGain,0,ReceiverGain=0
Frequency,1.8,hard-coded
SoundVelocity,0,Sspd=0
WaterTemperature,0,WaterTemp=0
WaterSalinity,0,Salinity=0
DateString,{ 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 },strDateBytes
IdString,{ 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 },strHeaderIDBytes
Version,Aris,Version=88491076
